観光スポット名称,所在地,緯度,経度,座標系,説明,八丈町ホームページ記載
大坂トンネルの展望,,33.085087,139.783878,JGD2011,大賀郷と樫立を結ぶトンネルで、展望台から正面に望む八丈富士の美しさは、名山との声も。眼下には、三原山の峰が横間海岸にせまり、海の上には八丈小島がその姿をくっきりと浮かび上がらせています。中でも、特筆すべきなのは山野を赤く染める夕景でその立ち去りがたいほどの絶景は、かつて「大坂の夕照」として八丈八景に詠まれているほどです。,http://www.town.hachijo.tokyo.jp/kankou_spot/okago.html#12
服部屋敷,東京都八丈島八丈町樫立2010,33.071876,139.795655,JGD2011,"江戸時代、幕府御用船を管理する職にあった服部家の屋敷跡。島の政治を司るほどの役職であり、当時の豪勢な暮らしぶりが、屋敷構えからも伺えます。特に屋敷を囲む二重の玉石垣や、樹齢700年といわれる大ソテツは見事なもの。また、郷土芸能の樫立踊りや八丈太鼓の実演が行われています。
【開館時間】午前8:00～午後3:00
【入場料】無料（イベント観覧料：350円）
【電話】04996-7-0231",http://www.town.hachijo.tokyo.jp/kankou_spot/kashitate.html#13
乙千代ヶ浜,,33.063202,139.795585,JGD2011,八幡山の熔岩が流れ込んでいる所で、プールや小さな池がつくられており、磯遊びの場所として樫立地域、あるいは八丈全体の憩いの場所となっている。また、沖に海底洞窟がありダイビングを楽しむ事ができ、釣り場にもなっている。,http://www.town.hachijo.tokyo.jp/kankou_spot/kashitate.html#14
黄八丈めゆ工房,東京都八丈島八丈町中之郷2542,33.068714,139.807258,JGD2011,"島の代表的な特産品「黄八丈」は、黄、樺、黒の三色による独特の風合いをもった伝統絹織物です。黄八丈の特徴は、島に自生する草木から採った染料と多くの手間と日数をかけた染色技術にあります。「黄八丈めゆ工房」では、黄八丈の染色から機織りまで一貫した生産を行っており、観光客などにも公開しています。
【公開時間】午前9:00～午後5:00（年中無休）
【見学料】無料
【電話】04996-7-0411",http://www.town.hachijo.tokyo.jp/kankou_spot/nakanogo.html#15
裏見ヶ滝,,33.06465,139.816668,JGD2011,三原川が中之郷の水田用水路と交差するときにできる滝。「裏見ヶ滝」という名は、用水路沿いの道がこの滝の内側を通るため「滝を裏側から見る」という珍しい景観に由来しています。遊歩道脇の露天風呂は、山あいの景観もすばらしく人気を集めています。,http://www.town.hachijo.tokyo.jp/kankou_spot/nakanogo.html#16
えこ・あぐりまーと,東京都八丈島八丈町中之郷3201?2,33.07345,139.816206,JGD2011,"農産物及び加工品等の生産者がグループで運営している農産物直売所です。八丈島で初めての試みで平成16年4月1日にオープンしました。熱帯果樹の展示温室があるほか、アイスクリームやプリンなどの手作りの加工品も販売しています。
【営業時間】午前10:00～午後4:00（年中無休）
【電話】04996-7-1808",http://www.town.hachijo.tokyo.jp/kankou_spot/nakanogo.html#17
八丈島地熱館,東京都八丈島八丈町中之郷2872,33.074466,139.812596,JGD2011,,http://www.geothermal-hachijo.com/
三原山,,33.091999,139.811764,JGD2011,八丈富士が『西山』と呼ばれることに対し、三原山は『東山』と呼ばれます。標高700.9メートルの多重式火山で東に西白雲山・東白雲山、南に東台子山の峰々が連なります。頂上火口付近には、大池、小池のふたつの池があり、また山中には硫黄滝・唐滝・裏見ヶ滝・御幸の滝・大滝の5つの滝があります。山は湧水に恵まれ、清水はハイキングの楽しみのひとつになっています。,http://www.town.hachijo.tokyo.jp/kankou_spot/nakanogo.html#18
ポットホール,,33.090155,139.830677,JGD2011,「おう穴」または「かめ穴」ともいう。河底や河岸にできる円形の深い穴。河床の岩石に割目や節理があると、河流による浸食でくぼみができます。このくぼみに小石などが入り込むと、渦流のため小石がくぼみの中を転がって円形の穴に拡大します。大の川上流のようにポットホールが数百メートルも続いている地形は大変珍しいです。平成28年に、町の天然記念物に「こん沢林道甌穴群」として指定されました。,http://www.town.hachijo.tokyo.jp/kankou_spot/sueyoshi.html#19
八丈島灯台,東京都八丈島八丈町末吉,33.079181,139.854943,JGD2011,島を守るシンボルともなる石積ヶ鼻に建つ灯台。どこまでも続く青い空と海を背景に円筒型の白い姿がいっそう際立って見えます。灯台までの小路も白い壁に囲まれ、南の島の開放的な雰囲気が漂います。,http://www.town.hachijo.tokyo.jp/kankou_spot/sueyoshi.html#20
