都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,POIコード,住所,方書,緯度,経度,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金（基本）,料金（詳細）,説明,説明_英語,アクセス方法,駐車場情報,バリアフリー情報,連絡先名称,連絡先電話番号,連絡先内線番号,画像,画像_ライセンス,URL,備考
422037,,長崎県,島原市,舞岳源水,マイタケゲンスイ,,,長崎県島原市有明町大三東戊5580-1,,32.80017,130.30195,月火水木金土日,00:00,00:00,終日開放,無料,無料,「舞岳源水」は、雲仙普賢岳の麓の舞岳（標高703ｍ）の中腹から湧き出る名水です。ミネラル成分が多く含まれ、縁起物のカエルや七福神などの石像がお迎えしてくれます。,,"島原鉄道　大三東駅から
車20分",駐車スペース10台程度,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=17382&sub_id=1&flid=39401,CC BYに準拠,,
422037,,長崎県,島原市,島原温泉　泉源公園足湯,シマバラオンセンセンゲンコウエンアシユ,,,長崎県島原市湊町1-6,島原港ターミナル横,32.76823,130.37283,月火水木金土日,00:00,00:00,終日開放　※清掃時間帯はご利用いただけない時があります。,無料,無料,島原温泉の100％掛け流しの屋外足湯。24時間利用可能で、憩いの場所として親しまれています。,,"島原港から
徒歩1分",駐車スペース133台（島原港）※１時間無料,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2889&sub_id=1&flid=10517,CC BYに準拠,https://www.city.shimabara.lg.jp/page2889.html,
422037,,長崎県,島原市,島原温泉　ゆとろぎの湯／ゆとろぎ足湯,シマバラオンセンユトロギノユ,,,長崎県島原市堀町171-3,,32.78482,130.36923,月火木金土日,10:00,21:00,"【ゆとろぎの湯】受付時間は20:30まで
【ゆとろぎ足湯】終日開放　※清掃時間帯はご利用いただけない時があります。",530円,"【利用料】一般530円、70歳以上・身体障害者手帳等をお持ちの方320円、
小学生以下小人270円、3歳未満無料",島原市内商店街の中心部にある温泉施設。源泉掛け流しの大浴場、薬湯、水風呂、サウナなど、さまざまなタイプの湯船を楽しむことができます。屋外には足湯もあり24時間利用可能です。,,"島原鉄道　島原駅から
徒歩10分",駐車スペース38台（有料）※利用者は2h無料券有,,島原温泉ゆとろぎの湯,0957-63-1126,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2888&sub_id=1&flid=9092,CC BYに準拠,http://yutoroginoyu.com/onsen.html,
422037,,長崎県,島原市,有明福祉センター　美人の湯,アリアケフクシセンタービジンノユ,,,長崎県島原市有明町大三東戊1352-1,,32.84899,130.33746,月水木金土日,10:00,21:00,受付時間は20:30まで,530円,"【利用料】市外一般530円、小学生以下小人270円、3歳未満無料
団体割引などあり",平成15年、温泉掘削により地下632ｍから温泉が噴出し、有明温泉「美人の湯」と名づけられました。泉質は単純温泉の掛け流しで、弱アルカリ性。肌の角質を取る「美肌効果」があると言われています。,,"島原鉄道　大三東駅から
徒歩15分",駐車スペース50台,,島原市有明福祉センター,0957-68-3466,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=1317&sub_id=4&flid=13653,CC BYに準拠,https://www.shimabara-shakyo.or.jp/ariakeonsen_bijin_no_yu/,
422037,,長崎県,島原市,がまだすドーム（雲仙岳災害記念館）,ガマダスドーム,,,長崎県島原市平成町1-1,,32.74351,130.37594,月火水木金土日,09:00,18:00,入館は17:00まで,"1,050円","大人1,050円、中高生740円、小学生530円
団体割引などあり",島原半島ユネスコ世界ジオパークの拠点施設であり、日本で最初にできた火山体験ミュージアムです。火山や科学、防災が学べ幅広い実験ができる「ワンダーラボ」や「こどもジオパーク」もあります。,,"島原鉄道　島原駅から
車15分",駐車スペース420台,,ガマダスドーム,0957-65-5555,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=945&sub_id=7&flid=31595,CC BYに準拠,https://www.udmh.or.jp/,
422037,,長崎県,島原市,平成新山ネイチャーセンター,ヘイセイシンザンネイチャーセンター,,,長崎県島原市南千本木町甲2683,,32.76956,130.32436,月水木金土日,09:00,17:00,1月から2月は10:00から16:00,無料,無料,平成新山の直下で、間近に眺望することができるだけでなく、普賢岳の噴火災害によって荒廃した垂木台地の事前環境がどのように修復されていくかを直接観察できる学習施設です。,,"島原鉄道　島原駅から
車20分",駐車スペース33台,,平成新山ネイチャーセンター,0957-63-6752,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=946&sub_id=3&flid=10502,CC BYに準拠,https://heiseinc.com/,
422037,,長崎県,島原市,大三東駅,オオミサキエキ,,,有明町大三東丙135-2,島原鉄道,32.84378,130.34468,月火水木金土日,00:00,00:00,終日開放,無料,無料,海に一番近い駅としてフォトジェニックな写真が撮影できます。,,島原鉄道　大三東駅,駐車スペース5台程度,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2790&sub_id=1&flid=8581,CC BYに準拠,https://www.shimatetsu.co.jp/area/detail/?id=7,
422037,,長崎県,島原市,肥前島原松平文庫,ヒゼンシマバラマツダイラブンコ,,,長崎県島原市城内一丁目1202,島原図書館内,32.78834,130.36808,火水木金土日,10:00,17:00,,無料,無料,島原藩大老・松平勘解由屋敷跡は島原図書館として利用。2階には藩政時代の貴重な古典書類を揃えた「松平文庫」が１万点あります。,,"島原鉄道　島原駅から
徒歩5分",駐車スペース10台,,島原図書館,0957-64-4117,,http://www.shimabara-city-libraries.jp/cms/wp-content/themes/shmabaraariakecms/images/shimabara/matsudaira/img-02.png,CC BYに準拠,http://www.shimabara-city-libraries.jp/shimabara/shimabaralib_matsudaira/,
422037,,長崎県,島原市,大野原遺跡展示館,オオノハライセキテンジカン,,,長崎県島原市有明町大三東戊1382,島原市有明総合文化会館内,32.84803,130.33691,火水木金土日,09:00,17:00,,無料,無料,縄文時代後期から古代にかけて続いた島原を代表する遺跡。発見された遺構や縄文土器などを展示しています。,,"島原鉄道　大三東駅から
徒歩15分",駐車スペース70台,,島原市有明総合文化会館,0957-68-5800,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2960&sub_id=1&flid=10342,CC BYに準拠,https://www.city.shimabara.lg.jp/page2960.html,
422037,,長崎県,島原市,旧島原藩薬園跡,キュウシマバラハンヤクエンアト,,,長崎県島原市小山町4703,,32.78575,130.35216,月火水木金土日,09:30,16:30,,無料,無料,旧島原藩薬園跡は、幕末の遺構をよくとどめた国指定の史跡で、日本三大薬園跡の一つです。,,"島原鉄道　島原駅から
車10分",駐車スペース13台,,旧島原藩薬園跡,0957-63-4853,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=936&sub_id=3&flid=9933,CC BYに準拠,https://www.city.shimabara.lg.jp/page936.html,
422037,,長崎県,島原市,サムライブルー龍馬像,サムライブルーリョウマゾウ,,,長崎県島原市平成町2-1,島原復興アリーナ敷地内,32.74506,130.37361,月火水木金土日,00:00,00:00,終日開放,無料,無料,高さ10ｍ、重さ3.5トンの巨大な坂本龍馬像。東京国立代々木競技場に建てられ2010年のサッカーワールドカップ日本代表を鼓舞してきた像が、平成22年に島原市へ寄贈されました。,,"島原鉄道　島原駅から
車15分",駐車スペース500台,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=751&sub_id=3&flid=10052,CC BYに準拠,https://www.city.shimabara.lg.jp/page751.html,
422037,,長崎県,島原市,九州オルレ島原コース,キュウシュウオルレシマバラコース,,,長崎県島原市内,,32.76678,130.37255,月火水木金土日,00:00,00:00,終日開放,無料,無料,日本で一番新しい山「平成新山」を眺めながら歩く「ジオパーク（火山）」をテーマとした全長10.5kmのコースです。海岸線から山間部まで火山に特化した風景を楽しむことができます。,,島原港,"駐車スペース133台（島原港）※１時間無料
スタート地点が島原港になります。",,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=6528&sub_id=7&flid=32335,CC BYに準拠,https://www.city.shimabara.lg.jp/page6528.html,
422037,,長崎県,島原市,舞岳ふれあいロード8888段,マイタケフレアイロードハッセンハッピャクハッセンハチダン,,,長崎県島原市有明町大三東戊5580-2,舞岳山荘,32.79794,130.29839,月火水木金土日,00:00,00:00,終日開放,無料,無料,"舞岳の中腹から山頂まで間伐材を活用した8,888段の階段がある自然遊歩道です。小鳥達のさえずりを聞きながらゆっくりと森林浴を味わうことができます。",,"島原鉄道　大三東駅から
車20分",駐車スペース141台,,舞岳山荘,0957-68-8888,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=949&sub_id=4&flid=9949,CC BYに準拠,https://www.city.shimabara.lg.jp/page949.html,
422037,,長崎県,島原市,しまばら火張山花公園,シマバラヒバルヤマハナコウエン,,,長崎県島原市上折橋町1465-2,砂防締切堤防内,32.78911,130.33774,月火水木金土日,09:00,17:00,"【イベント期間中】9:00から17:00　公園開放（天候によっては臨時閉園あり）
※通常時は施錠されています。",300円,【イベント期間中】管理協力金とし300円（高校生以下無料）,"平成新山を一望できる壮大な公園内に、春は3月下旬頃から桜・菜の花・ポピー、秋にはコスモスを楽しむことができます。 平成新山と1,000万本の秋桜、6万本のヒマワリのとりあわせは圧巻の眺めです。",,"島原鉄道　島原駅から
車10分",駐車スペース約100台,,"ＮＰＯ法人芝桜公園をつくる会
（島原港観光案内所）",0957-62-3986,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=17092&sub_id=3&flid=37115,CC BYに準拠,https://www.shimabaraonsen.com/event/spring/haru-hanamatsuri,
422037,,長崎県,島原市,有明の森フラワー公園,アリアケノモリフラワーコウエン,,,長崎県島原市有明町湯江乙2524-607,,32.81762,130.30219,月火水木金土日,09:00,17:00,,無料,無料,"長崎県新観光百選の「有明の森フラワー公園」。舞岳の麓に広がる35,000㎡の敷地が四季折々の花々で見事に彩られます。公園内の「森の牧場」では 可愛いトカラヤギ、シバヤギにエサをあげられ触れ合えます。",,"島原鉄道　湯江駅から
車15分",駐車スペース150台,,"有明の森フラワー公園
（フラワー物産館）",0957-68-5252,,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=948&sub_id=2&flid=7877,CC BYに準拠,https://www.ariake-f.com/,
422037,,長崎県,島原市,眉山治山祈念公苑,マユヤマチサンキネンコウエン,,,長崎県島原市上の原三丁目5643-7,島原総合運動公園内,32.77568,130.35841,月火水木金土日,00:00,00:00,終日開放,無料,無料,島原市でも有数の桜の名所で、桜の季節になると多くの観光客でに賑わいます。島原総合運動公園内には野球場やサッカー場、整備された遊歩道があり、スポーツを愛する市民の憩いの場となっています。 ,,"島原鉄道　島原駅から
車10分",駐車スペース50台,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2967&sub_id=1&flid=9376,CC BYに準拠,https://www.city.shimabara.lg.jp/kanko/page2967.html,
422037,,長崎県,島原市,秩父が浦公園,チチブガウラコウエン,,,長崎県島原市秩父が浦町丁3543-29 ,,32.75697,130.37452,月火水木金土日,00:00,00:00,終日開放,無料,無料,寛政4年（1792年）雲仙岳の活発な火山活動によって、背後の眉山が大崩壊し、海中になだれこみました。眼前に見える島々はその名残です。海の公園として親しまれ、昭和45年に島原半島県立公園に指定されました。,,"島原鉄道　島原駅から
車15分",駐車スペース約20台,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2936&sub_id=1&flid=10122,CC BYに準拠,https://www.city.shimabara.lg.jp/page2936.html,
422037,,長崎県,島原市,ひょうたん池公園,ヒョウタンイケコウエン,,,長崎県島原市南下川尻町8189,,32.76554,130.36487,月火水木金土日,00:00,00:00,終日開放,無料,無料,寛政4年（1792年）に眉山が大崩壊した際の土砂がつくった小山（流れ山）の上にあり、その大きさは現存する流れ山のなかで最大級のものです。子供や家族連れで大変にぎわう公園です。,,"島原港から
車5分",駐車スペース100台,,"島原市役所
しまばら観光おもてなし課",0957-63-1111,212,https://www.city.shimabara.lg.jp/common/UploadFileOutput.ashx?c_id=3&id=2935&sub_id=1&flid=9904,CC BYに準拠,https://www.city.shimabara.lg.jp/page2935.html,
